trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,alpha,is_best_trial
0,0.4228517846555483,10.0,0.10113231069171438,3.0930924690552137,1.5528833190894193,5999711.063066721,8339877.916317992,261017.70233352305,397510.311827957,2449.430763068579,2887.88467850051,510.8989159643256,630.4841884044016,-5.44209243627629,-1.687594071072696,-0.2327960729914107,0.3237568951711648,2045.714034375423,2055.1832635983264,454.43995446784294,468.23655913978496,2116.0,1322.0,457.0,380.0,0.008932196508323184,0.032635983263598324,0.037564029595902104,0.10483870967741936,0.02449587224252267,0.06527196652719665,0.10301650540694365,0.20967741935483872,0.07903640546758696,0.1497907949790795,0.3244166192373364,0.47043010752688175,0.23586430655172785,0.3432449295784522,0.7683034995925274,0.7539016041539756,ArQ,1,0.833387603628782,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
1,0.10141520882110981,4.0,3.5210511977261727,4.027997994883632,5.434285666633234,4814310.51833807,7350966.332217573,210897.22879908935,352318.1693548387,2194.153713470884,2711.2665549918866,459.2354829486604,593.5639555724713,-4.169287829040605,-1.368909200992872,0.003924740950809746,0.4006376045025881,1832.9890377588306,1924.8376569037657,351.31303357996586,378.9059139784946,1844.0,1498.0,305.0,259.5,0.030586006225470294,0.05188284518828452,0.128628343767786,0.16666666666666666,0.06455542021924482,0.11213389121338913,0.27148548662492883,0.3602150537634409,0.14061442685072406,0.2108786610878661,0.5896414342629482,0.6693548387096774,0.2920013895363848,0.33441787424373076,0.7344112540293068,0.7848388593972094,ArQ,1,0.833387603628782,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,True
2,0.4250025692592619,10.0,2.124077272342023,8.79336262027036,0.371137172659469,4975327.383949114,7317850.990794979,268192.3676721685,363386.1505376344,2230.5441900910896,2705.1526742117494,517.8729261818661,602.8151877131451,-4.342177076733079,-1.358237510572228,-0.2666822775493216,0.3818087949433526,1855.5347137637027,1909.1430962343097,440.56687535571996,419.98924731182797,1780.0,1345.0,420.0,317.5,0.013262958451752606,0.035146443514644354,0.055776892430278883,0.11290322580645161,0.030586006225470294,0.07782426778242678,0.128628343767786,0.25,0.09243470023007173,0.1774058577405858,0.37962435970404096,0.5591397849462365,0.26194676305732173,0.34133594127915534,0.7536682264820842,0.7638731761088388,ArQ,1,0.833387603628782,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
3,0.6737628350766182,8.0,5.631029301612942,1.4898306920928144,2.0612047419403,5380191.760319394,7726752.348117155,353670.62606715993,438331.61559139786,2319.524037452381,2779.703643937093,594.7021322201224,662.0661716108125,-4.776893633800003,-1.4900093272126615,-0.6703991915111251,0.25431184084488156,1911.387603193937,1938.7933054393307,537.5606146841207,492.21774193548384,1689.0,1171.0,534.0,392.5,0.004195425632697252,0.0301255230125523,0.017643710870802503,0.0967741935483871,0.013668967383949113,0.0602510460251046,0.05748434832100171,0.1935483870967742,0.056705914196779,0.14811715481171547,0.22595332953898692,0.46236559139784944,0.24297745049767464,0.3543735672071845,0.6945104100160394,0.7290923331302759,ArQ,1,0.833387603628782,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
4,0.8027371229887813,12.0,3.2028993637765044,6.953993895126209,8.776252607730779,4786374.354987143,7079923.630962343,340030.2794536141,422228.19086021505,2187.7784062804767,2660.812588470361,583.1211533237446,649.790882407729,-4.13929182677819,-1.2815634671331737,-0.6059753398371335,0.28170692875723147,1808.4394370009475,1853.6108786610878,512.1815594763802,468.38440860215053,1622.0,1196.0,493.0,364.5,0.007849506022465827,0.03430962343096234,0.033010813887307915,0.11021505376344086,0.01989443767762891,0.06192468619246862,0.08366533864541832,0.1989247311827957,0.06590878332656652,0.15648535564853555,0.26693227091633465,0.489247311827957,0.25243591366471413,0.34632819455836683,0.7247444861433369,0.7406376004409247,ArQ,1,0.833387603628782,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
0,0.8956605968688088,4.0,0.48664235400553535,1.7813211536892324,8.79361078395119,4016682.4673048602,3941829.1321070236,514341.5113780025,629286.0182815356,2004.166277359456,1985.4040223861298,717.1760672094423,793.2754996100255,-2.563912174356818,-1.375004384428522,-1.2029822239429109,-0.5764110404962464,1580.2658321060383,1516.7853957636567,623.7136536030341,613.945155393053,1190.0,1043.0,568.5,528.0,0.003240058910162003,0.016164994425863992,0.01390644753476612,0.05301645338208409,0.010456553755522827,0.03567447045707915,0.04424778761061947,0.113345521023766,0.05655375552282769,0.0947603121516165,0.20859671302149177,0.283363802559415,0.27627308604027195,0.392726727649419,0.6413745882142022,0.6515174872984169,IDPP,1,0.8490140198115785,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
1,0.10736336549471959,8.0,9.583106348489968,5.378336321232869,6.949583428109686,5890644.064653903,5668080.710702341,233134.83501896335,419789.3875685558,2427.0649073837935,2380.7731329764165,482.8403825478595,647.9115584464872,-4.226636227211979,-2.4150938785155076,0.001457424751416192,-0.051605479895096895,1979.998085419735,1873.8322185061315,399.4102402022756,488.5831809872029,1936.5,1589.5,367.0,403.0,0.018998527245949925,0.028985507246376812,0.08154235145385588,0.09506398537477148,0.04403534609720177,0.059085841694537344,0.18836915297092288,0.19378427787934185,0.11723122238586156,0.13768115942028986,0.4911504424778761,0.4424131627056673,0.26608561914437295,0.3787583725852528,0.7623567753770502,0.702984034210491,IDPP,1,0.8490140198115785,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,True
2,0.3223604746960023,10.0,8.362794151783993,0.28105394570749886,7.526428717955178,6945213.130633284,6578794.674470457,264026.5158027813,606128.663619744,2635.3772273876248,2564.9161145094895,513.8351056543152,778.5426536932604,-5.162331683234881,-2.9638111324654255,-0.13085509937704232,-0.518400043116668,2152.8287187039764,2014.3366778149386,452.4538558786346,601.5082266910421,2167.0,1534.0,456.0,500.0,0.013991163475699559,0.02508361204013378,0.06005056890012642,0.08226691042047532,0.02812960235640648,0.05518394648829431,0.12010113780025285,0.17915904936014626,0.08630338733431517,0.10981047937569677,0.3463969658659924,0.3491773308957952,0.23766094019988365,0.38216711645955875,0.7726846353074507,0.697467726584179,IDPP,1,0.8490140198115785,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
3,0.9889724780174297,10.0,2.8763955214376113,7.913865351669736,1.1219374651186562,1660124.3347569956,2096724.6348940914,738959.2547408344,1075017.3162705668,1288.458123012539,1448.0071252912023,859.6273929679268,1036.8304182799454,-0.47299105063597113,-0.26330442896466866,-2.165045142964874,-1.6930030492674795,1061.4234167893962,1162.3851727982162,710.9740834386852,822.0877513711151,977.0,890.5,612.0,664.0,0.0017673048600883653,0.0011148272017837235,0.007585335018963337,0.003656307129798903,0.0075110456553755525,0.010033444816053512,0.0316055625790139,0.029250457038391225,0.051399116347569954,0.055741360089186176,0.17825537294563842,0.1316270566727605,0.5,0.5,0.5,0.5,IDPP,1,0.8490140198115785,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
4,0.4534145909141461,12.0,3.006780068899427,2.948975852004853,1.3872828639709491,7034406.641531664,6654837.309364549,299295.8489254109,638611.3930530165,2652.2455846945363,2579.6971352010587,547.0793808264125,799.1316493876441,-5.241471082963845,-3.0096278295429135,-0.28191759812677253,-0.5997718387969495,2157.635346097202,2023.6014492753623,489.24715549936786,622.672760511883,2115.5,1555.0,485.5,500.0,0.009720176730486009,0.01839464882943144,0.041719342604298354,0.0603290676416819,0.021354933726067747,0.04905239687848383,0.09102402022756005,0.1590493601462523,0.07452135493372607,0.10925306577480491,0.29329962073324906,0.3436928702010969,0.2294280479651289,0.3855858119627287,0.7432845699979831,0.6904466667560357,IDPP,1,0.8490140198115785,152.77424383163452,encals,XGBoostCox,7,8584,2024-11-28 21:41:56,,False
