trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,n_estimators,alpha,beta,is_best_trial
0,0.4228517846555483,10,0.10113231069171438,3.0930924690552137,1.5528833190894193,2327265.8995804572,4380380.132217573,640236.3801935117,1143595.809139785,1525.537904996286,2092.9357687749457,800.1477239819606,1069.3903913631284,-1.4988640104991462,-0.4116134301388137,-2.023859639528472,-0.9454810545308283,1268.7576126674787,1497.8661087866108,659.6448491747296,741.3844086021505,1104.0,1079.0,566.0,521.0,0.0028420625253755584,0.013389121338912133,0.01195219123505976,0.043010752688172046,0.010556232237109216,0.038493723849372385,0.0443938531587934,0.12365591397849462,0.05169847069968873,0.10460251046025104,0.19692657939669891,0.31989247311827956,0.4855320352767157,0.49988572710511003,0.5221699472102402,0.5192541989382995,ArQ,1,0.9104834881218092,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
1,0.10141520882110981,4,3.5210511977261727,4.027997994883632,5.434285666633234,5657606.3169576395,8921272.348953975,213029.64598747867,350546.8870967742,2378.572327459823,2986.849903988142,461.5513470757925,592.0700018551643,-5.074763014216249,-1.87495319620447,-0.006146742754409074,0.40365090347391186,2008.7819732034104,2203.8853556485356,377.7586795674445,402.43548387096774,2225.0,1864.0,364.0,303.5,0.018947083502503723,0.035146443514644354,0.0796812749003984,0.11290322580645161,0.04790905399918798,0.08451882845188284,0.20147979510529312,0.271505376344086,0.11774259033698742,0.18828451882845187,0.48947068867387594,0.6021505376344086,0.2599930024613461,0.2959717051899524,0.7882608966473053,0.8006483334783744,ArQ,1,0.9104834881218092,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,True
2,0.4250025692592619,10,2.124077272342023,8.79336262027036,0.371137172659469,1735867.8074164297,4408558.973221757,665763.8708025042,1122405.2016129033,1317.5233612412455,2099.6568703532866,815.9435463330194,1059.4362659513329,-0.8638599017494941,-0.420694292805204,-2.1444269033375725,-0.9094316696449594,1106.1982676952227,1483.9338912133892,675.5486624928856,736.8360215053764,996.0,1044.0,585.0,528.0,0.00243605359317905,0.013389121338912133,0.010244735344336939,0.043010752688172046,0.00987955068344837,0.035146443514644354,0.04154809334092203,0.11290322580645161,0.05007443497090269,0.100418410041841,0.19009675583380764,0.3064516129032258,0.48486813426549286,0.4906205088298596,0.5057130510612454,0.5230325182026514,ArQ,1,0.9104834881218092,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
3,0.6737628350766182,8,5.631029301612942,1.4898306920928144,2.0612047419403,1529724.6022465827,4007242.246861925,674599.5788275469,1165515.5940860214,1236.8203597315912,2001.8097429231193,821.3401115418307,1079.590475173814,-0.6425169789228695,-0.29136668570958646,-2.1861582727350894,-0.9827709134053293,1074.0514277980783,1422.0928870292887,679.5036994877632,760.5672043010753,1008.0,1049.0,585.0,553.5,0.00243605359317905,0.011715481171548118,0.010244735344336939,0.03763440860215054,0.00987955068344837,0.03430962343096234,0.04154809334092203,0.11021505376344086,0.049939098660170524,0.09539748953974896,0.18952760387023335,0.2903225806451613,0.5008379229935681,0.49992638862599115,0.5004464030812195,0.5,ArQ,1,0.9104834881218092,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
4,0.8027371229887813,12,3.2028993637765044,6.953993895126209,8.776252607730779,3715477.3747462444,6755919.365690377,607257.1485486625,609919.2365591398,1927.5573596513916,2599.215144171482,779.267058554808,780.9732623842764,-2.9894335646180252,-1.1771504348220665,-1.8680975325963765,-0.03759239937427328,1566.250642847476,1794.8753138075315,660.1661923733637,600.6774193548387,1158.0,1140.0,583.0,499.0,0.00243605359317905,0.01506276150627615,0.010244735344336939,0.04838709677419355,0.010150223304912708,0.0401673640167364,0.042686397268070574,0.12903225806451613,0.04953308972797402,0.10711297071129706,0.19180421172453044,0.33064516129032256,0.28768335683015017,0.3364292174059352,0.5528598346232306,0.6591825486612711,ArQ,1,0.9104834881218092,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
0,0.8956605968688088,4,0.48664235400553535,1.7813211536892324,8.79361078395119,1660110.7773195875,2096724.6348940914,738901.0657395702,1075017.3162705668,1288.4528618927382,1448.0071252912023,859.5935468228982,1036.8304182799454,-0.47297902142613824,-0.26330442896466866,-2.1647959129638368,-1.6930030492674795,1061.4150220913107,1162.3851727982162,710.9380530973451,822.0877513711151,977.0,890.5,612.0,664.0,0.0017673048600883653,0.0011148272017837235,0.007585335018963337,0.003656307129798903,0.0075110456553755525,0.010033444816053512,0.0316055625790139,0.029250457038391225,0.051399116347569954,0.055741360089186176,0.17825537294563842,0.1316270566727605,0.5001287261107783,0.5,0.5002889303653809,0.5,IDPP,1,0.938608612043549,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
1,0.10736336549471959,8,9.583106348489968,5.378336321232869,6.949583428109686,7661999.466126657,6898908.8946488295,252093.77370417194,490382.6709323583,2768.0316952893904,2626.5774107474595,502.08940807805527,700.2732830348151,-5.798320106086618,-3.1566842000088586,-0.07974583025407589,-0.22844721488783448,2308.259941089838,2096.494425863991,436.49051833122627,550.0968921389397,2603.5,1960.0,439.5,450.0,0.010456553755522827,0.020066889632107024,0.04487989886219975,0.06581352833638025,0.029160530191458027,0.05239687848383501,0.12452591656131479,0.16819012797074953,0.09366715758468336,0.11482720178372352,0.38305941845764857,0.3656307129798903,0.2190535483254752,0.350255974553685,0.8020326771439273,0.7305990857541188,IDPP,1,0.938608612043549,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,True
2,0.3223604746960023,10,8.362794151783993,0.28105394570749886,7.526428717955178,8807598.050810015,8150066.620401338,282618.0221238938,755453.8007312614,2967.759769726993,2854.832152754578,531.6183049180058,869.168453598761,-6.814784010344021,-3.9105233403384823,-0.2104846004686487,-0.8924712729352484,2472.6310751104565,2312.4721293199555,476.6757269279393,696.2650822669104,2944.5,2218.0,478.0,552.0,0.008541973490427098,0.0189520624303233,0.03666245259165613,0.062157221206581355,0.021354933726067747,0.04069119286510591,0.09102402022756005,0.12979890310786105,0.0748159057437408,0.0947603121516165,0.29898862199747156,0.29981718464351004,0.2051464829334792,0.35797688361010266,0.8017745606817797,0.7195530651366677,IDPP,1,0.938608612043549,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
3,0.9889724780174297,10,2.8763955214376113,7.913865351669736,1.1219374651186562,3124380.2815905744,3064475.8996655517,574965.4658659924,777810.3491773308,1767.5916614395346,1750.56445173137,758.2647729296095,881.9355697426716,-1.772192478125481,-0.8463874140051431,-1.4626414019943863,-0.9484761876702295,1355.1920471281296,1353.2419175027871,650.2218710493047,695.8957952468007,1018.5,998.5,584.5,588.0,0.004270986745213549,0.005574136008918618,0.018331226295828066,0.018281535648994516,0.012223858615611193,0.020624303232998884,0.051833122629582805,0.06398537477148081,0.05552282768777614,0.07469342251950947,0.20417193426042984,0.226691042047532,0.3773528007154827,0.39022513694374283,0.5576788246856982,0.613623872273684,IDPP,1,0.938608612043549,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
4,0.4534145909141461,12,3.006780068899427,2.948975852004853,1.3872828639709491,7439706.226951399,6027962.266443701,348507.30720606825,609039.9451553931,2727.5824876530132,2455.190881875318,590.3450746860418,780.4101134374113,-5.601084305691002,-2.631927293692947,-0.49269577839875467,-0.525693032665876,2225.7656848306333,1897.6365663322185,531.2819216182048,633.144424131627,2361.5,1288.5,528.5,562.0,0.007363770250368188,0.013377926421404682,0.0316055625790139,0.043875685557586835,0.01796759941089838,0.03400222965440357,0.07648546144121365,0.10786106032906764,0.06612665684830633,0.08639910813823858,0.25979772439949433,0.27056672760511885,0.21278942752698254,0.36795401352301965,0.6926057036935065,0.6654255533064333,IDPP,1,0.938608612043549,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
